,name,date,team,opponent,min,g,ass,tp,tpint,dis,dap,ta,tr,toques,tkl,interceps,blocks,xg,npxg,xag,act,acg,cmp,int_pass,po_cmp,prog,reg_success,reg_int
84,Aaron Cresswell,2022-05-01,West Ham,Arsenal,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,97.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,79.0,95.0,83.2,1.0,0.0,0.0
85,Aaron Cresswell,2022-05-08,West Ham,Norwich City,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,2.0,0.0,1.0,0.0,0.0,0.5,2.0,0.0,78.0,87.0,89.7,3.0,0.0,0.0
86,Aaron Cresswell,2022-05-15,West Ham,Manchester City,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,66.7,1.0,0.0,0.0
87,Aaron Cresswell,2022-05-22,West Ham,Brighton,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,74.0,0.0,1.0,0.0,0.1,0.1,0.0,1.0,0.0,50.0,62.0,80.6,2.0,0.0,0.0
88,Aaron Cresswell,2022-08-07,West Ham,Manchester City,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,2.0,1.0,0.0,0.0,0.1,1.0,0.0,21.0,27.0,77.8,1.0,0.0,0.0
89,Aaron Cresswell,2022-08-14,West Ham,Nott'ham Forest,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,0.0,0.0,1.0,0.0,0.0,0.4,7.0,0.0,51.0,63.0,81.0,7.0,0.0,1.0
90,Aaron Cresswell,2022-08-21,West Ham,Brighton,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,75.0,0.0,1.0,0.0,0.1,0.1,0.3,2.0,0.0,54.0,70.0,77.1,3.0,0.0,0.0
91,Aaron Cresswell,2022-08-28,West Ham,Aston Villa,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,67.0,82.1,3.0,0.0,0.0
92,Aaron Cresswell,2022-08-31,West Ham,Tottenham,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,32.0,36.0,88.9,5.0,0.0,0.0
93,Aaron Cresswell,2022-09-18,West Ham,Everton,89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,1.0,0.0,0.0,0.0,0.0,0.1,4.0,0.0,41.0,56.0,73.2,3.0,0.0,1.0
94,Aaron Cresswell,2022-10-01,West Ham,Wolves,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,39.0,76.9,4.0,0.0,0.0
95,Aaron Cresswell,2022-10-09,West Ham,Fulham,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1.0,1.0,3.0,0.0,0.0,0.2,3.0,0.0,53.0,66.0,80.3,2.0,0.0,0.0
96,Aaron Cresswell,2022-10-16,West Ham,Southampton,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,1.0,1.0,0.0,0.0,0.5,6.0,0.0,60.0,84.0,71.4,6.0,1.0,1.0
97,Aaron Cresswell,2022-10-19,West Ham,Liverpool,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,2.0,3.0,2.0,0.0,0.0,0.4,3.0,0.0,65.0,85.0,76.5,4.0,1.0,1.0
98,Aaron Cresswell,2022-10-24,West Ham,Bournemouth,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,89.0,3.0,1.0,0.0,0.0,0.0,0.2,7.0,0.0,68.0,82.0,82.9,8.0,0.0,1.0
99,Aaron Cresswell,2022-10-30,West Ham,Manchester Utd,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,44.0,60.0,73.3,3.0,0.0,0.0
100,Aaron Cresswell,2022-11-06,West Ham,Crystal Palace,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,49.0,83.7,3.0,0.0,0.0
101,Aaron Cresswell,2022-11-12,West Ham,Leicester City,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,1.0,1.0,0.0,0.0,0.0,0.3,6.0,0.0,65.0,83.0,78.3,4.0,0.0,1.0
102,Aaron Cresswell,2022-12-26,West Ham,Arsenal,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,30.0,37.0,81.1,0.0,0.0,0.0
103,Aaron Hickey,2022-08-07,Brentford,Leicester City,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,39.0,48.0,81.3,4.0,1.0,2.0
104,Aaron Hickey,2022-08-13,Brentford,Manchester Utd,79.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,13.0,17.0,76.5,2.0,2.0,6.0
105,Aaron Hickey,2022-08-20,Brentford,Fulham,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,19.0,89.5,0.0,0.0,0.0
